template_id,text,category,sentiment_base,editable,notes
36,Ninguém: absolutamente ninguém: Grinch invadindo o Natal 🎄💚,memes,0.49,SIM,Template de memes - edite o texto como quiser
37,Quando o RiberTech Hub abriu e eu ainda não tenho startup 😭,memes,-0.01,SIM,Template de memes - edite o texto como quiser
38,"Acordei achando que ia ser um dia normal, mas o Grinch chegou 🫠",memes,0.47,SIM,Template de memes - edite o texto como quiser
39,RiberCoin subindo e meu coração também ❤️📈,memes,0.14,SIM,Template de memes - edite o texto como quiser
40,Segunda-feira em Ribeirania: café e caos ☕🔥,memes,0.51,SIM,Template de memes - edite o texto como quiser
41,Cada dia mais convencido que o tempo aqui passa em 2x speed ⏩,memes,0.51,SIM,Template de memes - edite o texto como quiser
42,"Depois do festival de música, minha energia social acabou 🎶😵",memes,0.09,SIM,Template de memes - edite o texto como quiser
43,"Vida de investidor em RBC: pump, crash, pump, crash... emoção todo dia 🎢",memes,0.59,SIM,Template de memes - edite o texto como quiser
44,Natal em Ribeirania e eu ainda esperando o bônus cair 🎁,memes,0.49,SIM,Template de memes - edite o texto como quiser
45,Grinch 1 x 0 Espírito Natalino 💔,memes,-0.11,SIM,Template de memes - edite o texto como quiser
46,Grinch invadiu Ribeirânia e levou meu 13º junto 💀,memes,0.21,SIM,Template de memes - edite o texto como quiser
47,Quando o pump da RiberCoin é real e você não comprou 😭,memes,0.51,SIM,Template de memes - edite o texto como quiser
48,BanBan Açaí salvando minha carteira depois do crash 😂,memes,0.04,SIM,Template de memes - edite o texto como quiser
49,Eu tentando entender o mercado cripto depois da crise hídrica 🤡,memes,0.3,SIM,Template de memes - edite o texto como quiser
50,POV: você em Ribeirania tentando achar água 💧💧💧,memes,-0.03,SIM,Template de memes - edite o texto como quiser
51,Ninguém: absolutamente ninguém: Grinch invadindo o Natal 🎄💚,memes,0.39,SIM,Template de memes - edite o texto como quiser
52,Quando o RiberTech Hub abriu e eu ainda não tenho startup 😭,memes,0.44,SIM,Template de memes - edite o texto como quiser
53,"Acordei achando que ia ser um dia normal, mas o Grinch chegou 🫠",memes,0.25,SIM,Template de memes - edite o texto como quiser
54,RiberCoin subindo e meu coração também ❤️📈,memes,0.57,SIM,Template de memes - edite o texto como quiser
55,Segunda-feira em Ribeirania: café e caos ☕🔥,memes,0.4,SIM,Template de memes - edite o texto como quiser
56,Cada dia mais convencido que o tempo aqui passa em 2x speed ⏩,memes,0.47,SIM,Template de memes - edite o texto como quiser
57,"Depois do festival de música, minha energia social acabou 🎶😵",memes,0.31,SIM,Template de memes - edite o texto como quiser
58,"Vida de investidor em RBC: pump, crash, pump, crash... emoção todo dia 🎢",memes,0.24,SIM,Template de memes - edite o texto como quiser
59,Natal em Ribeirania e eu ainda esperando o bônus cair 🎁,memes,0.17,SIM,Template de memes - edite o texto como quiser
60,Grinch 1 x 0 Espírito Natalino 💔,memes,0.04,SIM,Template de memes - edite o texto como quiser
61,Grinch invadiu Ribeirânia e levou meu 13º junto 💀,memes,-0.18,SIM,Template de memes - edite o texto como quiser
62,Quando o pump da RiberCoin é real e você não comprou 😭,memes,0.03,SIM,Template de memes - edite o texto como quiser
63,BanBan Açaí salvando minha carteira depois do crash 😂,memes,0.58,SIM,Template de memes - edite o texto como quiser
64,Eu tentando entender o mercado cripto depois da crise hídrica 🤡,memes,0.54,SIM,Template de memes - edite o texto como quiser
65,POV: você em Ribeirania tentando achar água 💧💧💧,memes,0.23,SIM,Template de memes - edite o texto como quiser
66,Ninguém: absolutamente ninguém: Grinch invadindo o Natal 🎄💚,memes,0.35,SIM,Template de memes - edite o texto como quiser
67,Quando o RiberTech Hub abriu e eu ainda não tenho startup 😭,memes,-0.13,SIM,Template de memes - edite o texto como quiser
68,"Acordei achando que ia ser um dia normal, mas o Grinch chegou 🫠",memes,-0.1,SIM,Template de memes - edite o texto como quiser
69,RiberCoin subindo e meu coração também ❤️📈,memes,0.42,SIM,Template de memes - edite o texto como quiser
70,Segunda-feira em Ribeirania: café e caos ☕🔥,memes,0.23,SIM,Template de memes - edite o texto como quiser
71,Cada dia mais convencido que o tempo aqui passa em 2x speed ⏩,memes,0.32,SIM,Template de memes - edite o texto como quiser
72,"Depois do festival de música, minha energia social acabou 🎶😵",memes,0.28,SIM,Template de memes - edite o texto como quiser
73,"Vida de investidor em RBC: pump, crash, pump, crash... emoção todo dia 🎢",memes,0.32,SIM,Template de memes - edite o texto como quiser
74,Natal em Ribeirania e eu ainda esperando o bônus cair 🎁,memes,0.3,SIM,Template de memes - edite o texto como quiser
75,Grinch 1 x 0 Espírito Natalino 💔,memes,0.2,SIM,Template de memes - edite o texto como quiser
76,Grinch invadiu Ribeirânia e levou meu 13º junto 💀,memes,0.53,SIM,Template de memes - edite o texto como quiser
77,Quando o pump da RiberCoin é real e você não comprou 😭,memes,0.45,SIM,Template de memes - edite o texto como quiser
78,BanBan Açaí salvando minha carteira depois do crash 😂,memes,-0.09,SIM,Template de memes - edite o texto como quiser
79,Eu tentando entender o mercado cripto depois da crise hídrica 🤡,memes,-0.03,SIM,Template de memes - edite o texto como quiser
80,POV: você em Ribeirania tentando achar água 💧💧💧,memes,0.08,SIM,Template de memes - edite o texto como quiser
81,Ninguém: absolutamente ninguém: Grinch invadindo o Natal 🎄💚,memes,-0.2,SIM,Template de memes - edite o texto como quiser
82,Quando o RiberTech Hub abriu e eu ainda não tenho startup 😭,memes,0.42,SIM,Template de memes - edite o texto como quiser
83,"Acordei achando que ia ser um dia normal, mas o Grinch chegou 🫠",memes,0.25,SIM,Template de memes - edite o texto como quiser
84,RiberCoin subindo e meu coração também ❤️📈,memes,0.42,SIM,Template de memes - edite o texto como quiser
85,Segunda-feira em Ribeirania: café e caos ☕🔥,memes,0.55,SIM,Template de memes - edite o texto como quiser
86,Cada dia mais convencido que o tempo aqui passa em 2x speed ⏩,memes,0.58,SIM,Template de memes - edite o texto como quiser
87,"Depois do festival de música, minha energia social acabou 🎶😵",memes,0.58,SIM,Template de memes - edite o texto como quiser
88,"Vida de investidor em RBC: pump, crash, pump, crash... emoção todo dia 🎢",memes,0.17,SIM,Template de memes - edite o texto como quiser
89,Natal em Ribeirania e eu ainda esperando o bônus cair 🎁,memes,0.41,SIM,Template de memes - edite o texto como quiser
90,Grinch 1 x 0 Espírito Natalino 💔,memes,0.2,SIM,Template de memes - edite o texto como quiser
91,Grinch invadiu Ribeirânia e levou meu 13º junto 💀,memes,0.56,SIM,Template de memes - edite o texto como quiser
92,Quando o pump da RiberCoin é real e você não comprou 😭,memes,-0.19,SIM,Template de memes - edite o texto como quiser
93,BanBan Açaí salvando minha carteira depois do crash 😂,memes,-0.04,SIM,Template de memes - edite o texto como quiser
94,Eu tentando entender o mercado cripto depois da crise hídrica 🤡,memes,0.53,SIM,Template de memes - edite o texto como quiser
95,POV: você em Ribeirania tentando achar água 💧💧💧,memes,0.34,SIM,Template de memes - edite o texto como quiser
96,Ninguém: absolutamente ninguém: Grinch invadindo o Natal 🎄💚,memes,0.03,SIM,Template de memes - edite o texto como quiser
97,Quando o RiberTech Hub abriu e eu ainda não tenho startup 😭,memes,0.06,SIM,Template de memes - edite o texto como quiser
98,"Acordei achando que ia ser um dia normal, mas o Grinch chegou 🫠",memes,0.27,SIM,Template de memes - edite o texto como quiser
99,RiberCoin subindo e meu coração também ❤️📈,memes,-0.08,SIM,Template de memes - edite o texto como quiser
100,Segunda-feira em Ribeirania: café e caos ☕🔥,memes,-0.18,SIM,Template de memes - edite o texto como quiser
101,Cada dia mais convencido que o tempo aqui passa em 2x speed ⏩,memes,0.01,SIM,Template de memes - edite o texto como quiser
102,"Depois do festival de música, minha energia social acabou 🎶😵",memes,0.58,SIM,Template de memes - edite o texto como quiser
103,"Vida de investidor em RBC: pump, crash, pump, crash... emoção todo dia 🎢",memes,-0.13,SIM,Template de memes - edite o texto como quiser
104,Natal em Ribeirania e eu ainda esperando o bônus cair 🎁,memes,0.1,SIM,Template de memes - edite o texto como quiser
105,Grinch 1 x 0 Espírito Natalino 💔,memes,0.2,SIM,Template de memes - edite o texto como quiser
106,Grinch invadiu Ribeirânia e levou meu 13º junto 💀,memes,-0.17,SIM,Template de memes - edite o texto como quiser
107,Quando o pump da RiberCoin é real e você não comprou 😭,memes,0.58,SIM,Template de memes - edite o texto como quiser
108,BanBan Açaí salvando minha carteira depois do crash 😂,memes,-0.1,SIM,Template de memes - edite o texto como quiser
109,Eu tentando entender o mercado cripto depois da crise hídrica 🤡,memes,0.11,SIM,Template de memes - edite o texto como quiser
110,POV: você em Ribeirania tentando achar água 💧💧💧,memes,-0.01,SIM,Template de memes - edite o texto como quiser
111,Ninguém: absolutamente ninguém: Grinch invadindo o Natal 🎄💚,memes,-0.13,SIM,Template de memes - edite o texto como quiser
112,Quando o RiberTech Hub abriu e eu ainda não tenho startup 😭,memes,0.34,SIM,Template de memes - edite o texto como quiser
113,"Acordei achando que ia ser um dia normal, mas o Grinch chegou 🫠",memes,0.53,SIM,Template de memes - edite o texto como quiser
114,RiberCoin subindo e meu coração também ❤️📈,memes,0.26,SIM,Template de memes - edite o texto como quiser
115,Segunda-feira em Ribeirania: café e caos ☕🔥,memes,0.01,SIM,Template de memes - edite o texto como quiser
116,Cada dia mais convencido que o tempo aqui passa em 2x speed ⏩,memes,0.08,SIM,Template de memes - edite o texto como quiser
117,"Depois do festival de música, minha energia social acabou 🎶😵",memes,0.01,SIM,Template de memes - edite o texto como quiser
118,"Vida de investidor em RBC: pump, crash, pump, crash... emoção todo dia 🎢",memes,0.25,SIM,Template de memes - edite o texto como quiser
119,Natal em Ribeirania e eu ainda esperando o bônus cair 🎁,memes,0.08,SIM,Template de memes - edite o texto como quiser
120,Grinch 1 x 0 Espírito Natalino 💔,memes,-0.0,SIM,Template de memes - edite o texto como quiser
121,Grinch invadiu Ribeirânia e levou meu 13º junto 💀,memes,-0.04,SIM,Template de memes - edite o texto como quiser
122,Quando o pump da RiberCoin é real e você não comprou 😭,memes,0.49,SIM,Template de memes - edite o texto como quiser
123,BanBan Açaí salvando minha carteira depois do crash 😂,memes,0.53,SIM,Template de memes - edite o texto como quiser
124,Eu tentando entender o mercado cripto depois da crise hídrica 🤡,memes,0.46,SIM,Template de memes - edite o texto como quiser
125,POV: você em Ribeirania tentando achar água 💧💧💧,memes,-0.02,SIM,Template de memes - edite o texto como quiser
126,Ninguém: absolutamente ninguém: Grinch invadindo o Natal 🎄💚,memes,0.21,SIM,Template de memes - edite o texto como quiser
127,Quando o RiberTech Hub abriu e eu ainda não tenho startup 😭,memes,0.05,SIM,Template de memes - edite o texto como quiser
128,"Acordei achando que ia ser um dia normal, mas o Grinch chegou 🫠",memes,0.44,SIM,Template de memes - edite o texto como quiser
129,RiberCoin subindo e meu coração também ❤️📈,memes,-0.15,SIM,Template de memes - edite o texto como quiser
130,Segunda-feira em Ribeirania: café e caos ☕🔥,memes,-0.11,SIM,Template de memes - edite o texto como quiser
131,Cada dia mais convencido que o tempo aqui passa em 2x speed ⏩,memes,-0.18,SIM,Template de memes - edite o texto como quiser
132,"Depois do festival de música, minha energia social acabou 🎶😵",memes,-0.06,SIM,Template de memes - edite o texto como quiser
133,"Vida de investidor em RBC: pump, crash, pump, crash... emoção todo dia 🎢",memes,0.24,SIM,Template de memes - edite o texto como quiser
134,Natal em Ribeirania e eu ainda esperando o bônus cair 🎁,memes,0.28,SIM,Template de memes - edite o texto como quiser
135,Grinch 1 x 0 Espírito Natalino 💔,memes,-0.08,SIM,Template de memes - edite o texto como quiser
136,Grinch invadiu Ribeirânia e levou meu 13º junto 💀,memes,-0.01,SIM,Template de memes - edite o texto como quiser
137,Quando o pump da RiberCoin é real e você não comprou 😭,memes,0.4,SIM,Template de memes - edite o texto como quiser
138,BanBan Açaí salvando minha carteira depois do crash 😂,memes,0.49,SIM,Template de memes - edite o texto como quiser
139,Eu tentando entender o mercado cripto depois da crise hídrica 🤡,memes,0.52,SIM,Template de memes - edite o texto como quiser
140,POV: você em Ribeirania tentando achar água 💧💧💧,memes,-0.1,SIM,Template de memes - edite o texto como quiser
141,Ninguém: absolutamente ninguém: Grinch invadindo o Natal 🎄💚,memes,0.59,SIM,Template de memes - edite o texto como quiser
142,Quando o RiberTech Hub abriu e eu ainda não tenho startup 😭,memes,0.03,SIM,Template de memes - edite o texto como quiser
143,"Acordei achando que ia ser um dia normal, mas o Grinch chegou 🫠",memes,0.35,SIM,Template de memes - edite o texto como quiser
144,RiberCoin subindo e meu coração também ❤️📈,memes,-0.15,SIM,Template de memes - edite o texto como quiser
145,Segunda-feira em Ribeirania: café e caos ☕🔥,memes,-0.03,SIM,Template de memes - edite o texto como quiser
146,Cada dia mais convencido que o tempo aqui passa em 2x speed ⏩,memes,0.37,SIM,Template de memes - edite o texto como quiser
147,"Depois do festival de música, minha energia social acabou 🎶😵",memes,0.53,SIM,Template de memes - edite o texto como quiser
148,"Vida de investidor em RBC: pump, crash, pump, crash... emoção todo dia 🎢",memes,-0.13,SIM,Template de memes - edite o texto como quiser
149,Natal em Ribeirania e eu ainda esperando o bônus cair 🎁,memes,0.44,SIM,Template de memes - edite o texto como quiser
150,Grinch 1 x 0 Espírito Natalino 💔,memes,0.43,SIM,Template de memes - edite o texto como quiser
151,Grinch invadiu Ribeirânia e levou meu 13º junto 💀,memes,0.38,SIM,Template de memes - edite o texto como quiser
152,Quando o pump da RiberCoin é real e você não comprou 😭,memes,0.37,SIM,Template de memes - edite o texto como quiser
153,BanBan Açaí salvando minha carteira depois do crash 😂,memes,0.28,SIM,Template de memes - edite o texto como quiser
154,Eu tentando entender o mercado cripto depois da crise hídrica 🤡,memes,0.25,SIM,Template de memes - edite o texto como quiser
155,POV: você em Ribeirania tentando achar água 💧💧💧,memes,0.43,SIM,Template de memes - edite o texto como quiser
156,Ninguém: absolutamente ninguém: Grinch invadindo o Natal 🎄💚,memes,0.11,SIM,Template de memes - edite o texto como quiser
157,Quando o RiberTech Hub abriu e eu ainda não tenho startup 😭,memes,-0.19,SIM,Template de memes - edite o texto como quiser
158,"Acordei achando que ia ser um dia normal, mas o Grinch chegou 🫠",memes,0.28,SIM,Template de memes - edite o texto como quiser
159,RiberCoin subindo e meu coração também ❤️📈,memes,-0.11,SIM,Template de memes - edite o texto como quiser
160,Segunda-feira em Ribeirania: café e caos ☕🔥,memes,0.4,SIM,Template de memes - edite o texto como quiser
161,Cada dia mais convencido que o tempo aqui passa em 2x speed ⏩,memes,-0.16,SIM,Template de memes - edite o texto como quiser
162,"Depois do festival de música, minha energia social acabou 🎶😵",memes,0.39,SIM,Template de memes - edite o texto como quiser
163,"Vida de investidor em RBC: pump, crash, pump, crash... emoção todo dia 🎢",memes,-0.04,SIM,Template de memes - edite o texto como quiser
164,Natal em Ribeirania e eu ainda esperando o bônus cair 🎁,memes,0.34,SIM,Template de memes - edite o texto como quiser
165,Grinch 1 x 0 Espírito Natalino 💔,memes,0.16,SIM,Template de memes - edite o texto como quiser
166,Grinch invadiu Ribeirânia e levou meu 13º junto 💀,memes,0.19,SIM,Template de memes - edite o texto como quiser
167,Quando o pump da RiberCoin é real e você não comprou 😭,memes,0.35,SIM,Template de memes - edite o texto como quiser
168,BanBan Açaí salvando minha carteira depois do crash 😂,memes,0.33,SIM,Template de memes - edite o texto como quiser
169,Eu tentando entender o mercado cripto depois da crise hídrica 🤡,memes,0.39,SIM,Template de memes - edite o texto como quiser
170,POV: você em Ribeirania tentando achar água 💧💧💧,memes,0.2,SIM,Template de memes - edite o texto como quiser
171,Ninguém: absolutamente ninguém: Grinch invadindo o Natal 🎄💚,memes,0.33,SIM,Template de memes - edite o texto como quiser
172,Quando o RiberTech Hub abriu e eu ainda não tenho startup 😭,memes,-0.18,SIM,Template de memes - edite o texto como quiser
173,"Acordei achando que ia ser um dia normal, mas o Grinch chegou 🫠",memes,-0.05,SIM,Template de memes - edite o texto como quiser
174,RiberCoin subindo e meu coração também ❤️📈,memes,0.4,SIM,Template de memes - edite o texto como quiser
175,Segunda-feira em Ribeirania: café e caos ☕🔥,memes,-0.16,SIM,Template de memes - edite o texto como quiser
176,Cada dia mais convencido que o tempo aqui passa em 2x speed ⏩,memes,-0.03,SIM,Template de memes - edite o texto como quiser
177,"Depois do festival de música, minha energia social acabou 🎶😵",memes,-0.05,SIM,Template de memes - edite o texto como quiser
178,"Vida de investidor em RBC: pump, crash, pump, crash... emoção todo dia 🎢",memes,-0.01,SIM,Template de memes - edite o texto como quiser
179,Natal em Ribeirania e eu ainda esperando o bônus cair 🎁,memes,0.14,SIM,Template de memes - edite o texto como quiser
180,Grinch 1 x 0 Espírito Natalino 💔,memes,-0.02,SIM,Template de memes - edite o texto como quiser
181,Grinch invadiu Ribeirânia e levou meu 13º junto 💀,memes,0.1,SIM,Template de memes - edite o texto como quiser
182,Quando o pump da RiberCoin é real e você não comprou 😭,memes,-0.14,SIM,Template de memes - edite o texto como quiser
183,BanBan Açaí salvando minha carteira depois do crash 😂,memes,0.46,SIM,Template de memes - edite o texto como quiser
184,Eu tentando entender o mercado cripto depois da crise hídrica 🤡,memes,-0.17,SIM,Template de memes - edite o texto como quiser
185,POV: você em Ribeirania tentando achar água 💧💧💧,memes,0.31,SIM,Template de memes - edite o texto como quiser
186,Ninguém: absolutamente ninguém: Grinch invadindo o Natal 🎄💚,memes,0.17,SIM,Template de memes - edite o texto como quiser
187,Quando o RiberTech Hub abriu e eu ainda não tenho startup 😭,memes,0.1,SIM,Template de memes - edite o texto como quiser
188,"Acordei achando que ia ser um dia normal, mas o Grinch chegou 🫠",memes,-0.14,SIM,Template de memes - edite o texto como quiser
189,RiberCoin subindo e meu coração também ❤️📈,memes,-0.06,SIM,Template de memes - edite o texto como quiser
190,Segunda-feira em Ribeirania: café e caos ☕🔥,memes,0.34,SIM,Template de memes - edite o texto como quiser
191,Cada dia mais convencido que o tempo aqui passa em 2x speed ⏩,memes,0.52,SIM,Template de memes - edite o texto como quiser
192,"Depois do festival de música, minha energia social acabou 🎶😵",memes,0.34,SIM,Template de memes - edite o texto como quiser
193,"Vida de investidor em RBC: pump, crash, pump, crash... emoção todo dia 🎢",memes,0.12,SIM,Template de memes - edite o texto como quiser
194,Natal em Ribeirania e eu ainda esperando o bônus cair 🎁,memes,0.22,SIM,Template de memes - edite o texto como quiser
195,Grinch 1 x 0 Espírito Natalino 💔,memes,0.38,SIM,Template de memes - edite o texto como quiser
196,Grinch invadiu Ribeirânia e levou meu 13º junto 💀,memes,0.12,SIM,Template de memes - edite o texto como quiser
197,Quando o pump da RiberCoin é real e você não comprou 😭,memes,0.2,SIM,Template de memes - edite o texto como quiser
198,BanBan Açaí salvando minha carteira depois do crash 😂,memes,0.03,SIM,Template de memes - edite o texto como quiser
199,Eu tentando entender o mercado cripto depois da crise hídrica 🤡,memes,-0.1,SIM,Template de memes - edite o texto como quiser
200,POV: você em Ribeirania tentando achar água 💧💧💧,memes,0.18,SIM,Template de memes - edite o texto como quiser
201,Ninguém: absolutamente ninguém: Grinch invadindo o Natal 🎄💚,memes,0.15,SIM,Template de memes - edite o texto como quiser
202,Quando o RiberTech Hub abriu e eu ainda não tenho startup 😭,memes,0.2,SIM,Template de memes - edite o texto como quiser
203,"Acordei achando que ia ser um dia normal, mas o Grinch chegou 🫠",memes,0.23,SIM,Template de memes - edite o texto como quiser
204,RiberCoin subindo e meu coração também ❤️📈,memes,0.54,SIM,Template de memes - edite o texto como quiser
205,Segunda-feira em Ribeirania: café e caos ☕🔥,memes,-0.18,SIM,Template de memes - edite o texto como quiser
206,Cada dia mais convencido que o tempo aqui passa em 2x speed ⏩,memes,0.4,SIM,Template de memes - edite o texto como quiser
207,"Depois do festival de música, minha energia social acabou 🎶😵",memes,0.01,SIM,Template de memes - edite o texto como quiser
208,"Vida de investidor em RBC: pump, crash, pump, crash... emoção todo dia 🎢",memes,0.11,SIM,Template de memes - edite o texto como quiser
209,Natal em Ribeirania e eu ainda esperando o bônus cair 🎁,memes,0.3,SIM,Template de memes - edite o texto como quiser
210,Grinch 1 x 0 Espírito Natalino 💔,memes,0.02,SIM,Template de memes - edite o texto como quiser
211,Grinch invadiu Ribeirânia e levou meu 13º junto 💀,memes,-0.05,SIM,Template de memes - edite o texto como quiser
212,Quando o pump da RiberCoin é real e você não comprou 😭,memes,0.16,SIM,Template de memes - edite o texto como quiser
213,BanBan Açaí salvando minha carteira depois do crash 😂,memes,-0.13,SIM,Template de memes - edite o texto como quiser
214,Eu tentando entender o mercado cripto depois da crise hídrica 🤡,memes,0.56,SIM,Template de memes - edite o texto como quiser
215,POV: você em Ribeirania tentando achar água 💧💧💧,memes,-0.05,SIM,Template de memes - edite o texto como quiser
216,Ninguém: absolutamente ninguém: Grinch invadindo o Natal 🎄💚,memes,0.51,SIM,Template de memes - edite o texto como quiser
217,Quando o RiberTech Hub abriu e eu ainda não tenho startup 😭,memes,0.3,SIM,Template de memes - edite o texto como quiser
218,"Acordei achando que ia ser um dia normal, mas o Grinch chegou 🫠",memes,0.3,SIM,Template de memes - edite o texto como quiser
219,RiberCoin subindo e meu coração também ❤️📈,memes,-0.19,SIM,Template de memes - edite o texto como quiser
220,Segunda-feira em Ribeirania: café e caos ☕🔥,memes,0.04,SIM,Template de memes - edite o texto como quiser
221,Cada dia mais convencido que o tempo aqui passa em 2x speed ⏩,memes,0.59,SIM,Template de memes - edite o texto como quiser
222,"Depois do festival de música, minha energia social acabou 🎶😵",memes,0.06,SIM,Template de memes - edite o texto como quiser
223,"Vida de investidor em RBC: pump, crash, pump, crash... emoção todo dia 🎢",memes,0.32,SIM,Template de memes - edite o texto como quiser
224,Natal em Ribeirania e eu ainda esperando o bônus cair 🎁,memes,0.19,SIM,Template de memes - edite o texto como quiser
225,Grinch 1 x 0 Espírito Natalino 💔,memes,0.58,SIM,Template de memes - edite o texto como quiser
226,Grinch invadiu Ribeirânia e levou meu 13º junto 💀,memes,0.39,SIM,Template de memes - edite o texto como quiser
227,Quando o pump da RiberCoin é real e você não comprou 😭,memes,0.06,SIM,Template de memes - edite o texto como quiser
228,BanBan Açaí salvando minha carteira depois do crash 😂,memes,0.0,SIM,Template de memes - edite o texto como quiser
229,Eu tentando entender o mercado cripto depois da crise hídrica 🤡,memes,0.31,SIM,Template de memes - edite o texto como quiser
230,POV: você em Ribeirania tentando achar água 💧💧💧,memes,-0.11,SIM,Template de memes - edite o texto como quiser
231,Ninguém: absolutamente ninguém: Grinch invadindo o Natal 🎄💚,memes,0.47,SIM,Template de memes - edite o texto como quiser
232,Quando o RiberTech Hub abriu e eu ainda não tenho startup 😭,memes,0.09,SIM,Template de memes - edite o texto como quiser
233,"Acordei achando que ia ser um dia normal, mas o Grinch chegou 🫠",memes,0.57,SIM,Template de memes - edite o texto como quiser
234,RiberCoin subindo e meu coração também ❤️📈,memes,-0.01,SIM,Template de memes - edite o texto como quiser
235,Segunda-feira em Ribeirania: café e caos ☕🔥,memes,-0.13,SIM,Template de memes - edite o texto como quiser
236,Cada dia mais convencido que o tempo aqui passa em 2x speed ⏩,memes,-0.18,SIM,Template de memes - edite o texto como quiser
237,"Depois do festival de música, minha energia social acabou 🎶😵",memes,-0.12,SIM,Template de memes - edite o texto como quiser
238,"Vida de investidor em RBC: pump, crash, pump, crash... emoção todo dia 🎢",memes,-0.17,SIM,Template de memes - edite o texto como quiser
239,Natal em Ribeirania e eu ainda esperando o bônus cair 🎁,memes,0.59,SIM,Template de memes - edite o texto como quiser
240,Grinch 1 x 0 Espírito Natalino 💔,memes,-0.1,SIM,Template de memes - edite o texto como quiser
241,Grinch invadiu Ribeirânia e levou meu 13º junto 💀,memes,0.52,SIM,Template de memes - edite o texto como quiser
